SCLK,PRESSURE,sol,time,gt_fwhm,gt_vortex_ind,gt_detection_win,gt_4xfwhm,PRESSURE_MA_500,autoencoder_window_hits,autoencoder_positive_hit,window_id,event_sclk,split,label
668287995,723.17,15,16:16:24,False,,False,False,723.25,6,0,0,668288145,train,True
668287996,723.16,15,16:16:25,False,,False,False,723.25,5,0,0,668288145,train,True
668287997,723.19,15,16:16:26,False,,False,False,723.25,5,1,0,668288145,train,True
668287998,723.06,15,16:16:27,False,,False,False,723.25,5,1,0,668288145,train,True
668287999,723.07,15,16:16:28,False,,False,False,723.25,5,1,0,668288145,train,True
668288000,723.08,15,16:16:29,False,,False,False,723.25,6,1,0,668288145,train,True
668288001,723.17,15,16:16:30,False,,False,False,723.25,7,1,0,668288145,train,True
668288002,723.17,15,16:16:31,False,,False,False,723.25,8,1,0,668288145,train,True
668288003,723.17,15,16:16:32,False,,False,False,723.25,8,1,0,668288145,train,True
668288004,723.15,15,16:16:33,False,,False,False,723.25,9,1,0,668288145,train,True
668288005,723.22,15,16:16:34,False,,False,False,723.25,10,1,0,668288145,train,True
668288006,723.17,15,16:16:35,False,,False,False,723.25,11,1,0,668288145,train,True
668288007,723.15,15,16:16:36,False,,False,False,723.25,11,1,0,668288145,train,True
668288008,723.18,15,16:16:37,False,,False,False,723.25,12,1,0,668288145,train,True
668288009,723.14,15,16:16:38,False,,False,False,723.24,13,1,0,668288145,train,True
668288010,723.11,15,16:16:39,False,,False,False,723.24,14,1,0,668288145,train,True
668288011,723.2,15,16:16:40,False,,False,False,723.24,15,1,0,668288145,train,True
668288012,723.17,15,16:16:40,False,,False,False,723.24,16,1,0,668288145,train,True
668288013,723.16,15,16:16:41,False,,False,False,723.24,17,1,0,668288145,train,True
668288014,723.18,15,16:16:42,False,,False,False,723.24,18,1,0,668288145,train,True
668288015,723.23,15,16:16:43,False,,False,False,723.24,19,1,0,668288145,train,True
668288016,723.18,15,16:16:44,False,,False,False,723.24,20,1,0,668288145,train,True
668288017,723.21,15,16:16:45,False,,False,False,723.24,21,1,0,668288145,train,True
668288018,723.2,15,16:16:46,False,,False,False,723.24,22,1,0,668288145,train,True
668288019,723.18,15,16:16:47,False,,False,False,723.24,23,1,0,668288145,train,True
668288020,723.2,15,16:16:48,False,,False,False,723.24,24,1,0,668288145,train,True
668288021,723.19,15,16:16:49,False,,False,False,723.24,25,1,0,668288145,train,True
668288022,723.18,15,16:16:50,False,,False,False,723.24,26,1,0,668288145,train,True
668288023,723.23,15,16:16:51,False,,False,True,723.24,27,1,0,668288145,train,True
668288024,723.12,15,16:16:52,False,,False,True,723.24,28,1,0,668288145,train,True
668288025,723.21,15,16:16:53,False,,False,True,723.24,29,1,0,668288145,train,True
668288026,723.17,15,16:16:54,False,,False,True,723.24,30,1,0,668288145,train,True
668288027,723.13,15,16:16:55,False,,False,True,723.24,31,1,0,668288145,train,True
668288028,723.19,15,16:16:56,False,,False,True,723.24,32,1,0,668288145,train,True
668288029,723.17,15,16:16:57,False,,False,True,723.23,33,1,0,668288145,train,True
668288030,723.15,15,16:16:58,False,,False,True,723.23,34,1,0,668288145,train,True
668288031,723.22,15,16:16:59,False,,False,True,723.23,35,1,0,668288145,train,True
668288032,723.13,15,16:17:00,False,,False,True,723.23,36,1,0,668288145,train,True
668288033,723.15,15,16:17:01,False,,False,True,723.23,37,1,0,668288145,train,True
668288034,723.13,15,16:17:02,False,,False,True,723.23,38,1,0,668288145,train,True
668288035,723.13,15,16:17:03,False,,False,True,723.23,39,1,0,668288145,train,True
668288036,723.11,15,16:17:04,False,,False,True,723.23,40,1,0,668288145,train,True
668288037,723.2,15,16:17:05,False,,False,True,723.23,41,1,0,668288145,train,True
668288038,723.13,15,16:17:06,False,,False,True,723.23,42,1,0,668288145,train,True
668288039,723.11,15,16:17:07,False,,False,True,723.23,43,1,0,668288145,train,True
668288040,723.07,15,16:17:08,False,,False,True,723.23,44,1,0,668288145,train,True
668288041,723.09,15,16:17:09,False,,False,True,723.23,45,1,0,668288145,train,True
