SOL,HR,MN,SEC,e_SEC,PRES,e_PRES,DUR,e_DUR,RDS,e_RDS,meda_format_time,SCLK
15,16,18,50.0,3.0,0.42,0.04,61.0,14.0,,,0015 16:18:50,668288145
15,16,22,14.5,0.4,0.98,0.07,12.0,2.0,,,0015 16:22:15,668288356
16,12,47,8.1,0.7,0.39,0.03,23.0,3.0,0.001691,5e-06,0016 12:47:09,668363851
16,14,38,12.1,0.5,0.38,0.01,30.0,2.0,,,0016 14:38:13,668370696
16,15,23,0.2,0.2,0.64,0.09,2.0,0.4,,,0016 15:23:01,668373458
17,12,16,24.9,1.0,0.57,0.01,81.0,4.0,,,0017 12:16:25,668450709
17,12,32,8.1,0.7,0.49,0.09,8.0,3.0,,,0017 12:32:09,668451679
17,16,17,54.9,0.3,0.7,0.01,49.0,2.0,,,0017 16:17:55,668465594
17,17,51,29.1,0.1,0.368,0.008,13.0,0.5,,,0017 17:51:30,668471362
18,11,0,13.3,0.3,0.42,0.03,10.0,1.0,,,0018 11:00:14,668534767
18,12,40,46.5,0.2,0.52,0.06,3.1,0.6,0.009285,8e-06,0018 12:40:47,668540964
18,12,49,44.0,1.0,0.39,0.02,48.0,5.0,,,0018 12:49:44,668541515
18,12,58,38.0,1.0,0.24,0.02,29.0,4.0,,,0018 12:58:38,668542064
18,13,3,6.4,0.3,0.39,0.02,14.0,1.0,,,0018 13:03:07,668542340
18,15,25,14.8,0.3,0.72,0.01,39.0,2.0,,,0018 15:25:15,668551101
18,16,39,35.0,1.0,0.32,0.01,103.0,7.0,,,0018 16:39:35,668555682
18,16,46,44.7,0.7,0.37,0.01,38.0,3.0,,,0018 16:46:45,668556124
18,17,9,21.0,4.0,0.33,0.04,117.0,22.0,,,0018 17:09:21,668557517
20,12,14,27.5,0.3,0.54,0.02,17.0,1.0,,,0020 12:14:28,668716847
20,14,5,33.7,0.7,0.42,0.02,43.0,3.0,,,0020 14:05:34,668723694
21,11,12,39.2,0.8,0.36,0.01,45.0,3.0,,,0021 11:12:40,668801790
21,13,8,27.6,0.1,3.1,0.2,3.0,0.5,0.001929,3e-06,0021 13:08:28,668808927
21,13,34,39.0,0.6,0.46,0.007,75.0,3.0,,,0021 13:34:39,668810541
21,13,52,40.0,0.1,0.58,0.02,7.5,0.5,0.01,1e-05,0021 13:52:40,668811652
21,15,5,18.9,0.5,0.37,0.01,28.0,2.0,,,0021 15:05:19,668816129
28,12,8,17.1,0.2,0.572,0.009,23.5,0.8,0.00717,1e-05,0028 12:08:18,669426485
28,12,22,10.2,0.08,1.49,0.09,2.6,0.3,,,0028 12:22:11,669427340
28,14,16,47.63,0.08,0.86,0.03,4.2,0.3,,,0028 14:16:48,669434405
28,14,21,38.1,0.9,0.42,0.02,44.0,4.0,,,0028 14:21:39,669434703
29,13,5,30.1,0.7,1.03,0.02,88.0,4.0,,,0029 13:05:31,669518763
29,13,17,7.0,0.1,0.61,0.08,2.0,0.4,,,0029 13:17:07,669519478
29,16,38,0.9,0.5,0.33,0.01,33.0,2.0,,,0029 16:38:01,669531860
30,18,18,27.7,0.7,0.92,0.01,138.0,4.0,,,0030 18:18:28,669626803
31,11,1,25.3,0.6,0.54,0.01,55.0,3.0,,,0031 11:01:26,669688619
31,11,24,7.5,0.7,0.23,0.02,19.0,2.0,,,0031 11:24:08,669690018
31,11,33,53.6,0.2,0.44,0.02,8.7,0.8,0.002614,3e-06,0031 11:33:54,669690620
31,15,14,11.0,2.0,0.24,0.01,133.0,11.0,,,0031 15:14:11,669704197
32,11,34,29.6,0.6,0.72,0.03,25.0,3.0,0.0103,2e-05,0032 11:34:30,669779409
32,11,51,17.6,0.3,0.39,0.01,24.0,1.0,,,0032 11:51:18,669780445
32,13,51,43.0,2.0,1.44,0.06,183.0,12.0,,,0032 13:51:43,669787866
32,13,51,57.0,1.0,0.14,0.03,12.0,5.0,,,0032 13:51:57,669787881
33,12,10,53.3,0.3,1.16,0.03,29.0,1.0,,,0033 12:10:54,669870405
33,13,2,24.7,0.2,0.52,0.05,4.3,0.7,,,0033 13:02:25,669873580
33,15,19,31.08,0.06,1.11,0.04,3.1,0.2,,,0033 15:19:32,669882031
33,16,37,57.2,0.5,0.37,0.03,11.0,2.0,,,0033 16:37:58,669886865
34,11,53,33.3,0.6,0.54,0.01,64.0,3.0,,,0034 11:53:34,669958088
34,12,14,27.5,0.3,0.5,0.03,10.0,1.0,,,0034 12:14:28,669959376
34,12,19,54.47,0.06,1.06,0.03,4.1,0.2,,,0034 12:19:55,669959712
34,12,24,42.1,0.9,0.43,0.02,42.0,4.0,,,0034 12:24:43,669960008
34,12,30,12.2,0.1,1.96,0.04,13.6,0.6,0.00764,1e-05,0034 12:30:13,669960347
34,13,12,16.9,0.6,0.49,0.02,37.0,3.0,,,0034 13:12:17,669962940
34,13,34,32.87,0.08,0.51,0.02,3.7,0.3,,,0034 13:34:33,669964312
34,13,48,8.6,0.2,2.1,0.2,4.5,0.8,,,0034 13:48:09,669965150
34,15,34,20.9,0.1,0.43,0.02,4.2,0.4,,,0034 15:34:21,669971696
35,11,55,12.71,0.07,1.14,0.05,3.3,0.3,0.003678,3e-06,0035 11:55:13,670046942
35,12,5,0.9,0.7,0.33,0.01,33.0,3.0,,,0035 12:05:01,670047546
35,14,15,51.4,0.6,0.29,0.01,32.0,2.0,,,0035 14:15:52,670055611
