SCLK,PRESSURE,sol,time,gt_fwhm,gt_vortex_ind,gt_detection_win,gt_4xfwhm,PRESSURE_MA_500,window_id,event_sclk,label,split
668287145,723.22,15,16:02:36,False,,False,False,723.31,0,-1,0,
668287146,723.11,15,16:02:37,False,,False,False,723.31,0,-1,0,
668287147,723.16,15,16:02:38,False,,False,False,723.31,0,-1,0,
668287148,723.11,15,16:02:39,False,,False,False,723.31,0,-1,0,
668287149,723.18,15,16:02:40,False,,False,False,723.31,0,-1,0,
668287150,723.16,15,16:02:41,False,,False,False,723.31,0,-1,0,
668287151,723.12,15,16:02:42,False,,False,False,723.31,0,-1,0,
668287152,723.14,15,16:02:43,False,,False,False,723.31,0,-1,0,
668287153,723.14,15,16:02:44,False,,False,False,723.3,0,-1,0,
668287154,723.18,15,16:02:45,False,,False,False,723.3,0,-1,0,
668287155,723.16,15,16:02:46,False,,False,False,723.3,0,-1,0,
668287156,723.16,15,16:02:47,False,,False,False,723.3,0,-1,0,
668287157,723.16,15,16:02:48,False,,False,False,723.3,0,-1,0,
668287158,723.17,15,16:02:49,False,,False,False,723.3,0,-1,0,
668287159,723.14,15,16:02:50,False,,False,False,723.3,0,-1,0,
668287160,723.14,15,16:02:51,False,,False,False,723.3,0,-1,0,
668287161,723.17,15,16:02:52,False,,False,False,723.3,0,-1,0,
668287162,723.12,15,16:02:53,False,,False,False,723.3,0,-1,0,
668287163,723.1,15,16:02:54,False,,False,False,723.3,0,-1,0,
668287164,723.14,15,16:02:55,False,,False,False,723.3,0,-1,0,
668287165,723.17,15,16:02:56,False,,False,False,723.3,0,-1,0,
668287166,723.1,15,16:02:57,False,,False,False,723.3,0,-1,0,
668287167,723.12,15,16:02:58,False,,False,False,723.3,0,-1,0,
668287168,723.13,15,16:02:59,False,,False,False,723.3,0,-1,0,
668287169,723.1,15,16:03:00,False,,False,False,723.3,0,-1,0,
668287170,723.08,15,16:03:01,False,,False,False,723.29,0,-1,0,
668287171,723.1,15,16:03:02,False,,False,False,723.29,0,-1,0,
668287172,723.12,15,16:03:03,False,,False,False,723.29,0,-1,0,
668287173,723.08,15,16:03:04,False,,False,False,723.29,0,-1,0,
668287174,723.12,15,16:03:05,False,,False,False,723.29,0,-1,0,
668287175,723.15,15,16:03:06,False,,False,False,723.29,0,-1,0,
668287176,723.06,15,16:03:07,False,,False,False,723.29,0,-1,0,
668287177,723.06,15,16:03:08,False,,False,False,723.29,0,-1,0,
668287178,723.04,15,16:03:09,False,,False,False,723.29,0,-1,0,
668287179,723.04,15,16:03:10,False,,False,False,723.29,0,-1,0,
668287180,723.02,15,16:03:11,False,,False,False,723.29,0,-1,0,
668287181,723.06,15,16:03:12,False,,False,False,723.29,0,-1,0,
668287182,723.13,15,16:03:13,False,,False,False,723.29,0,-1,0,
668287183,723.13,15,16:03:13,False,,False,False,723.29,0,-1,0,
668287184,723.06,15,16:03:14,False,,False,False,723.29,0,-1,0,
668287185,723.09,15,16:03:15,False,,False,False,723.29,0,-1,0,
668287186,723.17,15,16:03:16,False,,False,False,723.28,0,-1,0,
668287187,723.11,15,16:03:17,False,,False,False,723.28,0,-1,0,
668287188,723.07,15,16:03:18,False,,False,False,723.28,0,-1,0,
668287189,723.09,15,16:03:19,False,,False,False,723.28,0,-1,0,
668287190,723.09,15,16:03:20,False,,False,False,723.28,0,-1,0,
668287191,723.07,15,16:03:21,False,,False,False,723.28,0,-1,0,
668287192,723.09,15,16:03:22,False,,False,False,723.28,0,-1,0,
668287193,723.11,15,16:03:23,False,,False,False,723.28,0,-1,0,
668287194,723.07,15,16:03:24,False,,False,False,723.28,0,-1,0,
668287195,723.05,15,16:03:25,False,,False,False,723.28,0,-1,0,
668287196,723.05,15,16:03:26,False,,False,False,723.28,0,-1,0,
668287197,723.05,15,16:03:27,False,,False,False,723.28,0,-1,0,
668287198,723.09,15,16:03:28,False,,False,False,723.28,0,-1,0,
668287199,723.14,15,16:03:29,False,,False,False,723.28,0,-1,0,
668287200,723.12,15,16:03:30,False,,False,False,723.28,0,-1,0,
668287201,723.05,15,16:03:31,False,,False,False,723.27,0,-1,0,
668287202,723.03,15,16:03:32,False,,False,False,723.27,0,-1,0,
668287203,723.05,15,16:03:33,False,,False,False,723.27,0,-1,0,
668287204,723.01,15,16:03:34,False,,False,False,723.27,0,-1,0,
668288052,723.17,15,16:17:19,False,,False,True,723.22,1,668288145,1,train
668288053,723.17,15,16:17:20,False,,False,True,723.22,1,668288145,1,train
668288054,723.08,15,16:17:21,False,,False,True,723.22,1,668288145,1,train
668288055,723.1,15,16:17:22,False,,True,True,723.22,1,668288145,1,train
668288059,722.9,15,16:17:26,False,,True,True,722.9,1,668288145,1,train
668288060,723.15,15,16:17:27,False,,True,True,723.02,1,668288145,1,train
668288061,722.93,15,16:17:28,False,,True,True,722.99,1,668288145,1,train
668288062,723.09,15,16:17:29,False,,True,True,723.02,1,668288145,1,train
668288063,723.17,15,16:17:30,False,,True,True,723.05,1,668288145,1,train
668288064,723.02,15,16:17:31,False,,True,True,723.04,1,668288145,1,train
668288065,722.95,15,16:17:32,False,,True,True,723.03,1,668288145,1,train
668288066,722.8,15,16:17:33,False,,True,True,723.0,1,668288145,1,train
668288067,723.19,15,16:17:34,False,,True,True,723.02,1,668288145,1,train
668288068,723.11,15,16:17:35,False,,True,True,723.03,1,668288145,1,train
668288069,722.65,15,16:17:36,False,,True,True,723.0,1,668288145,1,train
668288070,723.11,15,16:17:37,False,,True,True,723.01,1,668288145,1,train
668288071,722.88,15,16:17:38,False,,True,True,723.0,1,668288145,1,train
668288072,722.96,15,16:17:39,False,,True,True,722.99,1,668288145,1,train
668288073,722.89,15,16:17:40,False,,True,True,722.99,1,668288145,1,train
668288074,722.96,15,16:17:41,False,,True,True,722.98,1,668288145,1,train
668288075,722.81,15,16:17:42,False,,True,True,722.97,1,668288145,1,train
668288076,722.89,15,16:17:43,False,,True,True,722.97,1,668288145,1,train
668288077,722.89,15,16:17:44,False,,True,True,722.97,1,668288145,1,train
668288078,722.82,15,16:17:45,False,,True,True,722.96,1,668288145,1,train
668288079,722.97,15,16:17:46,False,,True,True,722.96,1,668288145,1,train
668288080,722.89,15,16:17:47,False,,True,True,722.96,1,668288145,1,train
668288081,722.89,15,16:17:48,False,,True,True,722.95,1,668288145,1,train
668288082,722.9,15,16:17:49,False,,True,True,722.95,1,668288145,1,train
668288083,722.81,15,16:17:50,False,,True,True,722.95,1,668288145,1,train
668288084,723.13,15,16:17:51,False,,True,True,722.95,1,668288145,1,train
668288085,722.97,15,16:17:52,False,,True,True,722.95,1,668288145,1,train
668288086,722.97,15,16:17:53,False,,True,True,722.95,1,668288145,1,train
668288087,722.97,15,16:17:54,False,,True,True,722.95,1,668288145,1,train
668288088,723.05,15,16:17:54,False,,True,True,722.96,1,668288145,1,train
668288089,722.82,15,16:17:55,False,,True,True,722.95,1,668288145,1,train
668288090,722.98,15,16:17:56,False,,True,True,722.95,1,668288145,1,train
668288091,722.98,15,16:17:57,False,,True,True,722.95,1,668288145,1,train
668288092,722.82,15,16:17:58,False,,True,True,722.95,1,668288145,1,train
668288093,722.9,15,16:17:59,False,,True,True,722.95,1,668288145,1,train
668288094,722.67,15,16:18:00,False,,True,True,722.94,1,668288145,1,train
668288095,722.9,15,16:18:01,False,,True,True,722.94,1,668288145,1,train
668288096,722.91,15,16:18:02,False,,True,True,722.94,1,668288145,1,train
668288097,722.83,15,16:18:03,False,,True,True,722.94,1,668288145,1,train
668288098,722.98,15,16:18:04,False,,True,True,722.94,1,668288145,1,train
668288099,722.91,15,16:18:05,False,,True,True,722.94,1,668288145,1,train
668288100,722.98,15,16:18:06,False,,True,True,722.94,1,668288145,1,train
668288101,722.67,15,16:18:07,False,,True,True,722.93,1,668288145,1,train
668288102,722.6,15,16:18:08,False,,True,True,722.92,1,668288145,1,train
668288103,722.98,15,16:18:09,False,,True,True,722.93,1,668288145,1,train
668288104,722.75,15,16:18:10,False,,True,True,722.92,1,668288145,1,train
668288105,722.83,15,16:18:11,False,,True,True,722.92,1,668288145,1,train
668288106,722.83,15,16:18:12,False,,True,True,722.92,1,668288145,1,train
668288107,722.83,15,16:18:13,False,,True,True,722.92,1,668288145,1,train
668288108,722.68,15,16:18:14,False,,True,True,722.91,1,668288145,1,train
668288109,722.98,15,16:18:15,False,,True,True,722.91,1,668288145,1,train
668288110,722.52,15,16:18:16,False,,True,True,722.91,1,668288145,1,train
668288111,722.91,15,16:18:17,False,,True,True,722.91,1,668288145,1,train
668288112,722.68,15,16:18:18,False,,True,True,722.9,1,668288145,1,train
668288113,722.84,15,16:18:19,False,,True,True,722.9,1,668288145,1,train
668288114,722.68,15,16:18:20,False,,True,True,722.9,1,668288145,1,train
668288290,722.6,15,16:21:11,False,,True,False,722.77,2,668288356,1,train
668288291,722.91,15,16:21:12,False,,True,False,722.77,2,668288356,1,train
668288292,722.83,15,16:21:13,False,,True,False,722.77,2,668288356,1,train
668288293,722.76,15,16:21:14,False,,True,False,722.77,2,668288356,1,train
668288294,722.84,15,16:21:15,False,,True,False,722.77,2,668288356,1,train
