SCLK,PRESSURE,sol,time,gt_fwhm,gt_vortex_ind,gt_detection_win,gt_4xfwhm,PRESSURE_MA_500,window_id,event_sclk,split,label
668288052,723.17,15,16:17:19,False,,False,True,723.22,0,668288145,train,True
668288053,723.17,15,16:17:20,False,,False,True,723.22,0,668288145,train,True
668288054,723.08,15,16:17:21,False,,False,True,723.22,0,668288145,train,True
668288055,723.1,15,16:17:22,False,,True,True,723.22,0,668288145,train,True
668288059,722.9,15,16:17:26,False,,True,True,722.9,0,668288145,train,True
668288060,723.15,15,16:17:27,False,,True,True,723.02,0,668288145,train,True
668288061,722.93,15,16:17:28,False,,True,True,722.99,0,668288145,train,True
668288062,723.09,15,16:17:29,False,,True,True,723.02,0,668288145,train,True
668288063,723.17,15,16:17:30,False,,True,True,723.05,0,668288145,train,True
668288064,723.02,15,16:17:31,False,,True,True,723.04,0,668288145,train,True
668288065,722.95,15,16:17:32,False,,True,True,723.03,0,668288145,train,True
668288066,722.8,15,16:17:33,False,,True,True,723.0,0,668288145,train,True
668288067,723.19,15,16:17:34,False,,True,True,723.02,0,668288145,train,True
668288068,723.11,15,16:17:35,False,,True,True,723.03,0,668288145,train,True
668288069,722.65,15,16:17:36,False,,True,True,723.0,0,668288145,train,True
668288070,723.11,15,16:17:37,False,,True,True,723.01,0,668288145,train,True
668288071,722.88,15,16:17:38,False,,True,True,723.0,0,668288145,train,True
668288072,722.96,15,16:17:39,False,,True,True,722.99,0,668288145,train,True
668288073,722.89,15,16:17:40,False,,True,True,722.99,0,668288145,train,True
668288074,722.96,15,16:17:41,False,,True,True,722.98,0,668288145,train,True
668288075,722.81,15,16:17:42,False,,True,True,722.97,0,668288145,train,True
668288076,722.89,15,16:17:43,False,,True,True,722.97,0,668288145,train,True
668288077,722.89,15,16:17:44,False,,True,True,722.97,0,668288145,train,True
668288078,722.82,15,16:17:45,False,,True,True,722.96,0,668288145,train,True
668288079,722.97,15,16:17:46,False,,True,True,722.96,0,668288145,train,True
668288080,722.89,15,16:17:47,False,,True,True,722.96,0,668288145,train,True
668288081,722.89,15,16:17:48,False,,True,True,722.95,0,668288145,train,True
668288082,722.9,15,16:17:49,False,,True,True,722.95,0,668288145,train,True
668288083,722.81,15,16:17:50,False,,True,True,722.95,0,668288145,train,True
668288084,723.13,15,16:17:51,False,,True,True,722.95,0,668288145,train,True
668288085,722.97,15,16:17:52,False,,True,True,722.95,0,668288145,train,True
668288086,722.97,15,16:17:53,False,,True,True,722.95,0,668288145,train,True
668288087,722.97,15,16:17:54,False,,True,True,722.95,0,668288145,train,True
668288088,723.05,15,16:17:54,False,,True,True,722.96,0,668288145,train,True
668288089,722.82,15,16:17:55,False,,True,True,722.95,0,668288145,train,True
668288090,722.98,15,16:17:56,False,,True,True,722.95,0,668288145,train,True
668288091,722.98,15,16:17:57,False,,True,True,722.95,0,668288145,train,True
668288092,722.82,15,16:17:58,False,,True,True,722.95,0,668288145,train,True
668288093,722.9,15,16:17:59,False,,True,True,722.95,0,668288145,train,True
668288094,722.67,15,16:18:00,False,,True,True,722.94,0,668288145,train,True
668288095,722.9,15,16:18:01,False,,True,True,722.94,0,668288145,train,True
668288096,722.91,15,16:18:02,False,,True,True,722.94,0,668288145,train,True
668288097,722.83,15,16:18:03,False,,True,True,722.94,0,668288145,train,True
668288098,722.98,15,16:18:04,False,,True,True,722.94,0,668288145,train,True
668288099,722.91,15,16:18:05,False,,True,True,722.94,0,668288145,train,True
668288100,722.98,15,16:18:06,False,,True,True,722.94,0,668288145,train,True
668288101,722.67,15,16:18:07,False,,True,True,722.93,0,668288145,train,True
668288102,722.6,15,16:18:08,False,,True,True,722.92,0,668288145,train,True
668288103,722.98,15,16:18:09,False,,True,True,722.93,0,668288145,train,True
668288104,722.75,15,16:18:10,False,,True,True,722.92,0,668288145,train,True
668288105,722.83,15,16:18:11,False,,True,True,722.92,0,668288145,train,True
668288106,722.83,15,16:18:12,False,,True,True,722.92,0,668288145,train,True
668288107,722.83,15,16:18:13,False,,True,True,722.92,0,668288145,train,True
668288108,722.68,15,16:18:14,False,,True,True,722.91,0,668288145,train,True
668288109,722.98,15,16:18:15,False,,True,True,722.91,0,668288145,train,True
668288110,722.52,15,16:18:16,False,,True,True,722.91,0,668288145,train,True
668288111,722.91,15,16:18:17,False,,True,True,722.91,0,668288145,train,True
668288112,722.68,15,16:18:18,False,,True,True,722.9,0,668288145,train,True
668288113,722.84,15,16:18:19,False,,True,True,722.9,0,668288145,train,True
668288114,722.68,15,16:18:20,False,,True,True,722.9,0,668288145,train,True
668288290,722.6,15,16:21:11,False,,True,False,722.77,1,668288356,train,True
668288291,722.91,15,16:21:12,False,,True,False,722.77,1,668288356,train,True
668288292,722.83,15,16:21:13,False,,True,False,722.77,1,668288356,train,True
668288293,722.76,15,16:21:14,False,,True,False,722.77,1,668288356,train,True
668288294,722.84,15,16:21:15,False,,True,False,722.77,1,668288356,train,True
668288295,722.91,15,16:21:16,False,,True,False,722.77,1,668288356,train,True
668288296,722.83,15,16:21:17,False,,True,False,722.77,1,668288356,train,True
668288297,722.83,15,16:21:18,False,,True,False,722.77,1,668288356,train,True
668288298,722.91,15,16:21:19,False,,True,False,722.77,1,668288356,train,True
668288299,722.83,15,16:21:20,False,,True,False,722.77,1,668288356,train,True
668288300,722.92,15,16:21:21,False,,True,False,722.77,1,668288356,train,True
668288301,722.99,15,16:21:22,False,,True,False,722.77,1,668288356,train,True
668288302,722.68,15,16:21:23,False,,True,False,722.77,1,668288356,train,True
668288303,722.76,15,16:21:24,False,,True,False,722.77,1,668288356,train,True
668288304,722.91,15,16:21:25,False,,True,False,722.77,1,668288356,train,True
668288305,722.92,15,16:21:26,False,,True,False,722.77,1,668288356,train,True
668288306,722.84,15,16:21:27,False,,True,False,722.77,1,668288356,train,True
668288307,722.76,15,16:21:28,False,,True,False,722.77,1,668288356,train,True
668288308,722.76,15,16:21:29,False,,True,False,722.77,1,668288356,train,True
668288309,722.84,15,16:21:30,False,,True,False,722.77,1,668288356,train,True
668288310,722.76,15,16:21:31,False,,True,False,722.77,1,668288356,train,True
668288311,722.99,15,16:21:32,False,,True,False,722.77,1,668288356,train,True
668288312,722.77,15,16:21:33,False,,True,False,722.77,1,668288356,train,True
668288313,722.85,15,16:21:34,False,,True,False,722.77,1,668288356,train,True
668288314,722.84,15,16:21:34,False,,True,False,722.77,1,668288356,train,True
668288315,722.84,15,16:21:35,False,,True,False,722.77,1,668288356,train,True
668288316,722.85,15,16:21:36,False,,True,False,722.77,1,668288356,train,True
668288317,722.85,15,16:21:37,False,,True,False,722.77,1,668288356,train,True
668288318,723.0,15,16:21:38,False,,True,False,722.77,1,668288356,train,True
668288319,722.77,15,16:21:39,False,,True,False,722.77,1,668288356,train,True
668288320,722.77,15,16:21:40,False,,True,False,722.77,1,668288356,train,True
668288321,722.84,15,16:21:41,False,,True,False,722.77,1,668288356,train,True
668288322,722.77,15,16:21:42,False,,True,False,722.77,1,668288356,train,True
668288323,722.76,15,16:21:43,False,,True,False,722.77,1,668288356,train,True
668288324,722.77,15,16:21:44,False,,True,False,722.77,1,668288356,train,True
668288325,722.69,15,16:21:45,False,,True,False,722.77,1,668288356,train,True
668288326,722.69,15,16:21:46,False,,True,False,722.77,1,668288356,train,True
668288327,722.77,15,16:21:47,False,,True,False,722.77,1,668288356,train,True
668288328,722.69,15,16:21:48,False,,True,False,722.77,1,668288356,train,True
668288329,722.78,15,16:21:49,False,,True,False,722.77,1,668288356,train,True
668288330,722.7,15,16:21:50,False,,True,False,722.77,1,668288356,train,True
668288331,722.77,15,16:21:51,False,,True,False,722.77,1,668288356,train,True
668288332,722.77,15,16:21:52,False,,True,True,722.77,1,668288356,train,True
668288333,722.78,15,16:21:53,False,,True,True,722.77,1,668288356,train,True
668288334,722.62,15,16:21:54,False,,True,True,722.77,1,668288356,train,True
